date;GREIX (Eigentumswohnungen);Frankfurt am Main (Eigentumswohnungen);Berlin (Eigentumswohnungen);München (Eigentumswohnungen)
Q1 1990;84,58;88,47;78,84;82,55
Q2 1990;87,1;90,79;83,35;85,7
Q3 1990;90,32;91,39;88,88;86,54
Q4 1990;90,77;96,87;91,57;89,6
Q1 1991;93,11;104,29;92,49;91,2
Q2 1991;95,75;105,49;100,89;92,84
Q3 1991;97,3;107,62;104,96;94,5
Q4 1991;99,78;111,41;107,96;96,19
Q1 1992;101,11;113,64;111,73;97,91
Q2 1992;102,82;111,25;114,65;99,67
Q3 1992;104,92;112,01;115,57;101,45
Q4 1992;105,93;114,53;114,8;103,27
Q1 1993;105,95;109;116,22;105,12
Q2 1993;107,56;111,5;115,92;107
Q3 1993;109,46;116,37;117,03;108,92
Q4 1993;113,4;116,49;118,7;110,87
Q1 1994;108,85;117,46;112,9;111,51
Q2 1994;112,38;113,44;116,54;110,43
Q3 1994;110,62;112,78;114,02;111,8
Q4 1994;111,59;113,25;113,99;109,23
Q1 1995;108,48;105,47;110,65;107,54
Q2 1995;107,31;102,25;114,53;105,37
Q3 1995;106,52;106,81;107,85;103,77
Q4 1995;108,1;104,68;110,09;101,93
Q1 1996;105,28;101,12;103,66;100,29
Q2 1996;106,15;102,18;102;100,53
Q3 1996;106,25;102,29;105,35;100,43
Q4 1996;105,41;98,67;105,41;100,66
Q1 1997;102,79;100,34;100,96;99,11
Q2 1997;103,28;98,94;102,78;99,48
Q3 1997;103,53;101,59;104,2;99,01
Q4 1997;105,6;98,13;112,22;98,03
Q1 1998;101,85;94,2;103,16;98,91
Q2 1998;103,36;95,15;107,37;98,48
Q3 1998;104,42;93,96;106,44;97,04
Q4 1998;105,38;94,71;111,36;98,44
Q1 1999;99,84;95,01;98,12;99,66
Q2 1999;100,51;94,47;95,41;98,5
Q3 1999;101,04;94,75;99,58;99,5
Q4 1999;100,63;95,4;100,51;100,44
Q1 2000;100,31;95,96;99,96;100,59
Q2 2000;100,4;98,78;101,97;100,67
Q3 2000;100,14;100;98,92;98,55
Q4 2000;99,15;96,14;99,15;100,18
Q1 2001;98,36;99,18;96,1;101,55
Q2 2001;99,61;100,43;98,09;104,83
Q3 2001;99,69;101,95;99,52;105,1
Q4 2001;98,83;100;94,59;106,33
Q1 2002;98,55;99,29;95,46;106,25
Q2 2002;99,09;99,69;96,68;107,36
Q3 2002;97,89;98,09;94,51;107,18
Q4 2002;96,51;97,42;90,83;105,37
Q1 2003;96,13;96,15;90,52;104,96
Q2 2003;97,78;97,43;91,91;106,99
Q3 2003;96,7;95,36;89,97;105
Q4 2003;95,83;96,78;89,9;103,08
Q1 2004;93,88;90,27;85,43;104,37
Q2 2004;95,61;96,86;87,88;104,83
Q3 2004;94,96;92,26;87,31;102,8
Q4 2004;93,9;89,97;82,79;101,3
Q1 2005;93,69;88,86;88,43;101,64
Q2 2005;94,06;89,51;86,02;101,73
Q3 2005;95,22;90,71;90,3;103,45
Q4 2005;94,31;91,7;85,48;103,37
Q1 2006;95,78;93,06;90,31;101,86
Q2 2006;96,72;94,53;90,34;102,5
Q3 2006;95,98;93,86;90,47;101,86
Q4 2006;96,12;95,63;90,76;102,93
Q1 2007;95,63;96,36;91,52;101,62
Q2 2007;97,37;97,09;95,36;103,96
Q3 2007;97,98;97,31;97,09;102,85
Q4 2007;98,52;96,87;99,07;104,35
Q1 2008;97,14;97,95;98,45;103,81
Q2 2008;97,46;102,1;99,24;105,41
Q3 2008;97,32;99,68;98,1;106,6
Q4 2008;98,74;101,11;100,88;105,23
Q1 2009;98,56;101,31;97,62;106,08
Q2 2009;101,25;104,98;98,52;109,03
Q3 2009;101,2;101,17;96,48;111,14
Q4 2009;103,1;104,24;97,77;115,26
Q1 2010;103,14;107,34;95,63;113,96
Q2 2010;105,74;107,33;100,29;117,71
Q3 2010;106,7;106,69;101,48;118,67
Q4 2010;108,33;111,48;103,77;125,3
Q1 2011;110,36;112,99;105,24;127,29
Q2 2011;112,91;114,94;107,76;132,26
Q3 2011;115,86;118,29;111,13;135,1
Q4 2011;118,16;119,12;115,97;139,12
Q1 2012;121,2;120,1;119,71;144,34
Q2 2012;124,26;123,71;123,08;147,53
Q3 2012;127,1;125,51;125,56;155,31
Q4 2012;129,27;128,42;128,93;159,55
Q1 2013;132,07;132,03;131,09;164,89
Q2 2013;135,71;134,34;134,81;170,47
Q3 2013;138,44;136,56;137,59;174,21
Q4 2013;140,22;138,48;140,88;177,15
Q1 2014;143,25;143,23;144,38;180,77
Q2 2014;146,37;142,24;149,18;184,74
Q3 2014;148,86;144,47;151,03;189,12
Q4 2014;151,28;147,04;156,62;192,17
Q1 2015;154,58;150,96;159,77;195,41
Q2 2015;158,74;155,09;163,27;203,5
Q3 2015;162,42;156,39;168,26;212,75
Q4 2015;164,71;158,46;171,24;215,29
Q1 2016;170,16;162,99;178,09;220,76
Q2 2016;175,06;167,22;185;228,66
Q3 2016;181,08;179,94;193,94;234,53
Q4 2016;187,45;189,51;203,9;243,67
Q1 2017;191,42;187,63;210,91;246,32
Q2 2017;197,91;193,96;218,54;254,7
Q3 2017;201,3;198,6;222,66;260,12
Q4 2017;205,75;204,36;230,91;263,99
Q1 2018;211,14;211,9;236;271,83
Q2 2018;216,83;223,74;243,95;276,25
Q3 2018;221,89;226,16;249,64;286,18
Q4 2018;225,76;225,5;257,66;287,59
Q1 2019;229,84;235,6;260,29;291,93
Q2 2019;235,94;243,43;269,09;293,79
Q3 2019;242,39;243,75;278,64;303,79
Q4 2019;247,72;251,43;283,86;311,62
Q1 2020;253,13;252,9;285,72;316,98
Q2 2020;257,17;254,16;289,36;320,06
Q3 2020;262,75;262,25;293,24;323,47
Q4 2020;270,5;263,48;300,51;332,56
Q1 2021;281,2;282,9;311,23;340,77
Q2 2021;293,46;290,42;326,36;355,8
Q3 2021;303,48;299,44;336,65;364,35
Q4 2021;311,09;298,07;347,76;375,34
Q1 2022;317,93;305,92;357,73;379,85
Q2 2022;322,46;306,74;366,81;387,36
Q3 2022;315,5;293,75;368,55;368,6
Q4 2022;300,75;277,2;356,56;342,35
Q1 2023;291,05;260,01;346,99;333,15
Q2 2023;287,64;264,13;339,54;326,65
Q3 2023;280,8;257,67;336,34;318,8
Q4 2023;278,65;258,01;334,91;310,6
Q1 2024;277,47;257,46;331,16;312,24
Q2 2024;281,11;269,94;337,93;314,36
Q3 2024;283,1;268,52;338,14;316,65
Q4 2024;284,04;264,78;335,45;321,96
Q1 2025;286,46;266,4;340,82;324,93
Q2 2025;287,72;267,92;340,96;324,6
Q3 2025;289,04;267,97;339,83;326,41
Q4 2025;288,2;269,52;334,88;
